DateCodePK,Date_YYYYMMDD,Year,Month,Season
1,20210402,2021,202104,Spring
2,20200306,2020,202003,Winter
3,20210219,2021,202102,Winter
4,20190308,2019,201903,Winter
5,20200529,2020,202005,Spring
6,20200521,2020,202005,Spring
7,20200417,2020,202004,Spring
8,20230208,2023,202302,Winter
9,20220603,2022,202206,Spring
10,20190607,2019,201906,Spring
11,20190207,2019,201902,Winter
12,20190416,2019,201904,Spring
13,20200313,2020,202003,Winter
14,20190920,2019,201909,Summer
15,20190114,2019,201901,Winter
16,20250516,2025,202505,Spring
17,20180615,2018,201806,Spring
18,20190710,2019,201907,Summer
19,20200117,2020,202001,Winter
20,20200616,2020,202006,Spring
21,20230519,2023,202305,Spring
22,20191230,2019,201912,Winter
23,20240621,2024,202406,Summer
24,20201225,2020,202012,Winter
25,20221104,2022,202211,Autumn
26,20190813,2019,201908,Summer
27,20200407,2020,202004,Spring
28,20240301,2024,202403,Winter
29,20181220,2018,201812,Autumn
30,20181205,2018,201812,Autumn
31,20181112,2018,201811,Autumn
32,20200124,2020,202001,Winter
33,20200610,2020,202006,Spring
34,20151117,2015,201511,Autumn
35,20150907,2015,201509,Summer
36,20250502,2025,202505,Spring
37,20151126,2015,201511,Autumn
38,20151122,2015,201511,Autumn
39,20151102,2015,201511,Autumn
40,20160127,2016,201601,Winter
41,20250522,2025,202505,Spring
42,20151129,2015,201511,Autumn
43,20250505,2025,202505,Spring
44,20181211,2018,201812,Autumn
45,20180306,2018,201803,Winter
46,20190524,2019,201905,Spring
47,20210528,2021,202105,Spring
48,20161024,2016,201610,Autumn
49,20190213,2019,201902,Winter
50,20180214,2018,201802,Winter
51,20211022,2021,202110,Autumn
52,20171013,2017,201710,Autumn
53,20240510,2024,202405,Spring
54,20191002,2019,201910,Autumn
55,20180607,2018,201806,Spring
56,20180622,2018,201806,Summer
57,20180423,2018,201804,Spring
58,20170313,2017,201703,Winter
59,20190110,2019,201901,Winter
60,20210430,2021,202104,Spring
61,20201112,2020,202011,Autumn
62,20191213,2019,201912,Autumn
63,20200724,2020,202007,Summer
64,20240614,2024,202406,Spring
65,20210910,2021,202109,Summer
66,20220624,2022,202206,Summer
67,20200315,2020,202003,Winter
68,20240223,2024,202402,Winter
69,20200624,2020,202006,Summer
70,20151113,2015,201511,Autumn
71,20191202,2019,201912,Autumn
72,20250207,2025,202502,Winter
73,20240405,2024,202404,Spring
74,20200507,2020,202005,Spring
75,20250404,2025,202504,Spring
76,20230728,2023,202307,Summer
77,20241018,2024,202410,Autumn
78,20170910,2017,201709,Summer
79,20250509,2025,202505,Spring
80,20240306,2024,202403,Winter
81,20190319,2019,201903,Winter
82,20200716,2020,202007,Summer
83,20230929,2023,202309,Autumn
84,20230512,2023,202305,Spring
85,20180426,2018,201804,Spring
86,20191011,2019,201910,Autumn
87,20210514,2021,202105,Spring
88,20210422,2021,202104,Spring
89,20240207,2024,202402,Winter
90,20191129,2019,201911,Autumn
91,20180308,2018,201803,Winter
92,20250530,2025,202505,Spring
93,20240216,2024,202402,Winter
94,20171014,2017,201710,Autumn
95,20181008,2018,201810,Autumn
96,20210419,2021,202104,Spring
97,20210901,2021,202109,Summer
98,20190117,2019,201901,Winter
99,20220304,2022,202203,Winter
100,20241016,2024,202410,Autumn
101,20220325,2022,202203,Spring
102,20220131,2022,202201,Winter
103,20230224,2023,202302,Winter
104,20220610,2022,202206,Spring
105,20221128,2022,202211,Autumn
106,20191120,2019,201911,Autumn
107,20190619,2019,201906,Spring
108,20170616,2017,201706,Spring
109,20200519,2020,202005,Spring
110,20200314,2020,202003,Winter
111,20221007,2022,202210,Autumn
112,20160809,2016,201608,Summer
113,20210401,2021,202104,Spring
114,20220727,2022,202207,Summer
115,20160916,2016,201609,Summer
116,20190429,2019,201904,Spring
117,20160205,2016,201602,Winter
118,20190410,2019,201904,Spring
119,20211225,2021,202112,Winter
120,20220407,2022,202204,Spring
121,20190323,2019,201903,Spring
122,20191108,2019,201911,Autumn
123,20181130,2018,201811,Autumn
124,20191115,2019,201911,Autumn
125,20200731,2020,202007,Summer
126,20190503,2019,201905,Spring
127,20180608,2018,201806,Spring
128,20180209,2018,201802,Winter
129,20170926,2017,201709,Autumn
130,20220715,2022,202207,Summer
131,20220930,2022,202209,Autumn
132,20241213,2024,202412,Autumn
133,20230317,2023,202303,Winter
134,20180517,2018,201805,Spring
135,20220923,2022,202209,Autumn
136,20171016,2017,201710,Autumn
137,20190616,2019,201906,Spring
138,20200423,2020,202004,Spring
139,20231215,2023,202312,Autumn
140,20200320,2020,202003,Spring
141,20230907,2023,202309,Summer
142,20191207,2019,201912,Autumn
143,20200908,2020,202009,Summer
144,20231031,2023,202310,Autumn
145,20210404,2021,202104,Spring
146,20230703,2023,202307,Summer
147,20180616,2018,201806,Spring
148,20161224,2016,201612,Winter
149,20181031,2018,201810,Autumn
150,20201031,2020,202010,Autumn
151,20190711,2019,201907,Summer
152,20201003,2020,202010,Autumn
153,20180401,2018,201804,Spring
154,20200919,2020,202009,Summer
155,20231117,2023,202311,Autumn
156,20161117,2016,201611,Autumn
157,20210218,2021,202102,Winter
158,20240906,2024,202409,Summer
159,20190530,2019,201905,Spring
160,20210109,2021,202101,Winter
161,20161213,2016,201612,Autumn
162,20150725,2015,201507,Summer
163,20180411,2018,201804,Spring
164,20180716,2018,201807,Summer
165,20230113,2023,202301,Winter
166,20201126,2020,202011,Autumn
167,20200916,2020,202009,Summer
168,20201109,2020,202011,Autumn
169,20170502,2017,201705,Spring
170,20171031,2017,201710,Autumn
171,20170123,2017,201701,Winter
172,20201022,2020,202010,Autumn
173,20160902,2016,201609,Summer
174,20220408,2022,202204,Spring
175,20201021,2020,202010,Autumn
176,20240326,2024,202403,Spring
177,20170311,2017,201703,Winter
178,20220616,2022,202206,Spring
179,20231104,2023,202311,Autumn
180,20250523,2025,202505,Spring
181,20180614,2018,201806,Spring
182,20250616,2025,202506,Spring
183,20221130,2022,202211,Autumn
184,20230901,2023,202309,Summer
185,20230505,2023,202305,Spring
186,20240705,2024,202407,Summer
187,20220909,2022,202209,Summer
188,20220905,2022,202209,Summer
189,20240920,2024,202409,Summer
190,20190301,2019,201903,Winter
191,20240227,2024,202402,Winter
192,20170407,2017,201704,Spring
193,20200717,2020,202007,Summer
194,20190927,2019,201909,Autumn
195,20240913,2024,202409,Summer
196,20191004,2019,201910,Autumn
197,20170404,2017,201704,Spring
198,20170414,2017,201704,Spring
199,20190221,2019,201902,Winter
200,20180713,2018,201807,Summer
201,20161212,2016,201612,Autumn
202,20220309,2022,202203,Winter
203,20171020,2017,201710,Autumn
204,20200701,2020,202007,Summer
205,20170227,2017,201702,Winter
206,20190212,2019,201902,Winter
207,20160816,2016,201608,Summer
208,20180321,2018,201803,Spring
209,20241127,2024,202411,Autumn
210,20230331,2023,202303,Spring
211,20221216,2022,202212,Autumn
212,20170130,2017,201701,Winter
213,20141229,2014,201412,Winter
214,20170808,2017,201708,Summer
215,20161205,2016,201612,Autumn
216,20160725,2016,201607,Summer
217,20161230,2016,201612,Winter
218,20220527,2022,202205,Spring
219,20170216,2017,201702,Winter
220,20230417,2023,202304,Spring
221,20200421,2020,202004,Spring
222,20211019,2021,202110,Autumn
223,20220505,2022,202205,Spring
224,20161125,2016,201611,Autumn
225,20171012,2017,201710,Autumn
226,20191225,2019,201912,Winter
227,20141205,2014,201412,Autumn
228,20171218,2017,201712,Autumn
229,20201125,2020,202011,Autumn
230,20211231,2021,202112,Winter
231,20120429,2012,201204,Spring
232,20130712,2013,201307,Summer
233,20121105,2012,201211,Autumn
234,20201012,2020,202010,Autumn
235,20121028,2012,201210,Autumn
236,20120617,2012,201206,Spring
237,20170331,2017,201703,Spring
238,20120120,2012,201201,Winter
239,20200328,2020,202003,Spring
240,20200406,2020,202004,Spring
241,20250606,2025,202506,Spring
242,20120827,2012,201208,Summer
243,20120616,2012,201206,Spring
244,20150119,2015,201501,Winter
245,20170428,2017,201704,Spring
246,20170519,2017,201705,Spring
247,20190614,2019,201906,Spring
248,20200710,2020,202007,Summer
249,20171120,2017,201711,Autumn
250,20180525,2018,201805,Spring
251,20130917,2013,201309,Summer
252,20170317,2017,201703,Winter
253,20210326,2021,202103,Spring
254,20210226,2021,202102,Winter
255,20230602,2023,202306,Spring
256,20180427,2018,201804,Spring
257,20200702,2020,202007,Summer
258,20190208,2019,201902,Winter
259,20160222,2016,201602,Winter
260,20230504,2023,202305,Spring
261,20201211,2020,202012,Autumn
262,20190517,2019,201905,Spring
263,20200430,2020,202004,Spring
264,20230606,2023,202306,Spring
265,20130921,2013,201309,Summer
266,20150127,2015,201501,Winter
267,20170309,2017,201703,Winter
268,20210512,2021,202105,Spring
269,20240419,2024,202404,Spring
270,20220630,2022,202206,Summer
271,20130513,2013,201305,Spring
272,20231122,2023,202311,Autumn
273,20160303,2016,201603,Winter
274,20250418,2025,202504,Spring
275,20171003,2017,201710,Autumn
276,20161114,2016,201611,Autumn
277,20250411,2025,202504,Spring
278,20190830,2019,201908,Summer
279,20220114,2022,202201,Winter
280,20250529,2025,202505,Spring
281,20181016,2018,201810,Autumn
282,20101012,2010,201010,Autumn
283,20060628,2006,200606,Summer
284,20080616,2008,200806,Spring
285,20040616,2004,200406,Spring
286,20170927,2017,201709,Autumn
287,20080415,2008,200804,Spring
288,20170921,2017,201709,Summer
289,20110716,2011,201107,Summer
290,20170929,2017,201709,Autumn
291,20200815,2020,202008,Summer
292,20131221,2013,201312,Winter
293,20120619,2012,201206,Spring
294,20150702,2015,201507,Summer
295,20250131,2025,202501,Winter
296,20170526,2017,201705,Spring
297,20120511,2012,201205,Spring
298,20150925,2015,201509,Autumn
299,20161203,2016,201612,Autumn
300,20080315,2008,200803,Winter
301,20190809,2019,201908,Summer
302,20240917,2024,202409,Summer
303,20240517,2024,202405,Spring
304,20230421,2023,202304,Spring
305,20230209,2023,202302,Winter
306,20230714,2023,202307,Summer
307,20250124,2025,202501,Winter
308,20250307,2025,202503,Winter
309,20240125,2024,202401,Winter
310,20231110,2023,202311,Autumn
