PublishedSong_Fact_PK,Track_ID_Natural,Title,Duration,Streams_1month,Popularity,Category,ArtistCodeFK,AlbumCodeFK,DateCodeFK,SymphonyCodeFK,TextCodeFK,GroupFK
1,TR934808,​polka 2 :-/,207761.0,186522.0,46.0,Melodic,84,1,1,1,1,1
2,TR760029,POLKA,207761.0,194313.0,46.0,Hype,84,1,2,2,2,2
3,TR916821,​britney ;-),193544.0,63750.0,39.0,Warm Bangers,84,1,3,3,3,3
4,TR480968,CEO,169000.0,41473.0,47.0,Melodic,84,2,4,4,4,4
5,TR585039,LONDRA,194779.0,30553.0,41.0,Hype,84,3,5,5,5,5
6,TR550335,BOHEME,200329.0,29687.0,29.0,Slow Dark,84,3,6,6,6,6
7,TR170793,LOBBY WAY,171230.0,24103.0,23.0,Fast-Flow,84,3,7,7,7,7
8,TR627195,SLATT,168513.0,30838.0,24.0,Hype,84,3,5,8,8,8
9,TR628871,MADE IN ITALY,178080.0,20522.0,50.0,Hype,84,4,8,9,9,9
10,TR700756,ROSE & ROVI,188534.0,20741.0,27.0,Fast-Flow,84,3,5,10,10,10
11,TR570242,POLKA 3,160645.0,14401.0,40.0,Slow Dark,84,5,9,11,11,11
12,TR483404,COSANOSTRA,136737.0,17799.0,25.0,Hype,84,3,5,12,12,12
13,TR497808,NUOVI GAY,210369.0,16490.0,21.0,Warm Bangers,84,3,5,13,13,13
14,TR355495,OCCHIO E CROCE,134437.0,11654.0,23.0,Hype,84,3,5,14,14,14
15,TR736423,​life :-(,129560.0,11083.0,26.0,Hype,84,1,1,15,15,15
16,TR718221,RAF SIMONS,61922.0,10994.0,21.0,Hype,84,3,5,16,16,16
17,TR181361,SLIME,159809.0,11572.0,22.0,Fast-Flow,84,3,5,17,17,17
18,TR950471,TU MI FAI,167729.0,11741.0,23.0,Slow Dark,84,3,5,18,18,18
19,TR562453,PARADISO,140210.0,10864.0,21.0,Hype,84,3,5,19,19,19
20,TR851752,​no love :-),190500.0,9540.0,23.0,Fast-Flow,84,1,1,20,20,20
21,TR387150,​fantasmi ;-(,206550.0,10107.0,25.0,Slow Dark,84,1,1,21,21,21
22,TR968851,Facciamolo,141706.0,7237.0,21.0,Melodic,84,6,10,22,22,22
23,TR634516,Freestyle #redbullnext #essemagazine,169000.0,6825.0,47.0,Fast-Flow,84,2,11,23,23,23
24,TR292151,Scolapasta,138560.0,4798.0,48.0,Melodic,84,7,12,24,24,24
25,TR709513,#IORESTOACASA Freestyle,138560.0,4926.0,48.0,Hype,84,7,13,25,25,25
26,TR804827,Fatass,152343.0,5585.0,11.0,Melodic,84,8,14,26,26,26
