ArtistGeoCodePK,H3_index,Country,Region,Province,City
1,851e832bfffffff,Italia,Campania,Napoli,Napoli
2,851ea447fffffff,Italia,Veneto,Verona,Verona
3,851f9b0bfffffff,Italia,Liguria,Genova,Genova
4,851eb597fffffff,Italia,Liguria,La Spezia,La Spezia
5,851f99cffffffff,Italia,Lombardia,Milano,Milano
6,851f99cbfffffff,Italia,Lombardia,Milano,Rho
7,851f9843fffffff,Singapore,Singapore,Singapore,Singapore
8,851f9843fffffff,Italia,Piemonte,Torino,Torino
9,851e8e0bfffffff,Italia,Campania,Avellino,Avellino
10,851e8053fffffff,Italia,Lazio,Roma,Roma
11,851e8b27fffffff,Italia,Puglia,Lecce,Sternatia
12,851e8adbfffffff,Italia,Campania,Salerno,Salerno
13,851e9d97fffffff,Italia,Campania,Salerno,Nocera Inferiore
14,851e92d7fffffff,Italia,Sardigna/Sardegna,Cagliari,Cagliari
15,851ea05bfffffff,Italia,Emilia-Romagna,Bologna,Bologna
16,851f9913fffffff,Italia,Lombardia,Monza e della Brianza,Vimercate
17,851f985bfffffff,Italia,Piemonte,Torino,Alpignano
18,853f35c7fffffff,Italia,Sicilia,Catania,Catania
19,851ea32bfffffff,Italia,Marche,Ancona,Senigallia
20,851ea4dbfffffff,Italia,Lombardia,Brescia,Brescia
21,851e9417fffffff,Italia,Sardegna,Gallura,Olbia
22,853f34a3fffffff,Italia,Sicilia,Enna,Enna
23,851f8bcbfffffff,Italia,Trentino-Alto Adige/Südtirol,Bolzano,Bolzano
24,851e9a0ffffffff,Italia,Sicilia,Palermo,Palermo
25,851ea203fffffff,Italia,Toscana,Firenze,Firenze
26,851ea407fffffff,Italia,Veneto,Vicenza,Vicenza
27,851e8b8bfffffff,Italia,Puglia,Taranto,Grottaglie
28,851e9b4ffffffff,Italia,Sicilia,Enna,Nicosia
29,851f99dbfffffff,Italia,Lombardia,Varese,Gallarate
30,851ea367fffffff,Italia,Marche,Ancona,Ancona
31,851ea5cffffffff,Italia,Veneto,Treviso,Treviso
32,851ea453fffffff,Italia,Lombardia,Brescia,Desenzano del Garda
33,851e850ffffffff,Italia,Marche,Ascoli Piceno,San Benedetto del Tronto
34,851f9957fffffff,Italia,Lombardia,Milano,Pieve Emanuele
35,851e880ffffffff,Italia,Puglia,Bari,Bari
36,851f9947fffffff,Italia,Lombardia,Lodi,Lodi
37,851ea6c7fffffff,Argentina,Ciudad Autónoma de Buenos Aires,"Buenos Aires, Argentina",Buenos Aires
38,851e8393fffffff,Italia,Lazio,Frosinone,Frosinone
39,851f98affffffff,Italia,Piemonte,Novara,Novara
40,851e862ffffffff,Italia,Lazio,Roma,Fiumicino
41,851ea093fffffff,Italia,Veneto,Padova,Padova
42,853f2653fffffff,Italia,Calabria,Reggio Calabria,Reggio Calabria
43,851e92d7fffffff,Italia,Sardegna,Cagliari,Cagliari
44,854cd42ffffffff,República Dominicana,Distrito Nacional,"Santo Domingo, Dominican Republic","Santo Domingo, Dominican Republic"
