TextCodePK,n_sentences,n_tokens,Is_Explicit,N_Swear_Words_IT,N_Swear_Words_EN,Lyrics
1,102.0,911.0,,,,
2,56.0,675.0,,,,
3,88.0,758.0,,,,
4,37.0,382.0,,,,
5,48.0,429.0,,,,
6,62.0,387.0,,,,
7,82.0,680.0,,,,
8,82.0,657.0,,,,
9,82.0,584.0,,,,
10,50.0,589.0,,,,
11,54.0,487.0,,,,
12,51.0,497.0,,,,
13,57.0,332.0,,,,
14,47.0,455.0,,,,
15,48.0,441.0,,,,
16,28.0,253.0,,,,
17,48.0,422.0,,,,
18,47.0,357.0,,,,
19,50.0,406.0,,,,
20,74.0,812.0,,,,
21,83.0,870.0,,,,
22,72.0,556.0,,,,
23,16.0,118.0,,,,
24,71.0,337.0,,,,
25,28.0,236.0,,,,
26,41.0,461.0,,,,
27,25.0,236.0,,,,
28,50.0,492.0,,,,
29,18.0,118.0,,,,
30,47.0,497.0,,,,
31,35.0,267.0,,,,
32,54.0,719.0,,,,
33,90.0,392.0,,,,
34,61.0,461.0,,,,
35,37.0,401.0,,,,
36,53.0,559.0,,,,
37,123.0,1139.0,,,,
38,66.0,450.0,,,,
39,84.0,455.0,,,,
40,51.0,536.0,,,,
41,32.0,327.0,,,,
42,51.0,410.0,,,,
43,24.0,214.0,,,,
44,55.0,458.0,,,,
45,93.0,850.0,,,,
46,92.0,561.0,,,,
47,51.0,537.0,,,,
48,17.0,104.0,,,,
49,62.0,630.0,,,,
50,25.0,189.0,,,,
51,27.0,241.0,,,,
52,43.0,521.0,,,,
53,23.0,130.0,,,,
54,40.0,365.0,,,,
55,51.0,187.0,,,,
56,20.0,178.0,,,,
57,34.0,294.0,,,,
58,83.0,677.0,,,,
59,1.0,4.0,,,,
60,59.0,616.0,,,,
61,44.0,438.0,,,,
62,1.0,6.0,,,,
63,87.0,805.0,,,,
64,88.0,878.0,,,,
65,76.0,604.0,,,,
66,2.0,5.0,,,,
67,176.0,1506.0,,,,
68,72.0,671.0,,,,
69,1.0,7.0,,,,
70,30.0,278.0,,,,
71,55.0,492.0,,,,
72,20.0,146.0,,,,
73,55.0,523.0,,,,
74,69.0,690.0,,,,
75,42.0,323.0,,,,
76,72.0,584.0,,,,
77,47.0,397.0,,,,
78,75.0,712.0,,,,
79,46.0,367.0,,,,
80,44.0,469.0,,,,
81,49.0,544.0,,,,
82,27.0,178.0,,,,
83,50.0,333.0,,,,
84,38.0,270.0,,,,
85,50.0,376.0,,,,
86,21.0,208.0,,,,
87,43.0,422.0,,,,
88,78.0,536.0,,,,
89,55.0,462.0,,,,
90,93.0,628.0,,,,
91,53.0,433.0,,,,
92,47.0,417.0,,,,
93,67.0,535.0,,,,
94,47.0,400.0,,,,
95,68.0,517.0,,,,
96,58.0,541.0,,,,
97,70.0,359.0,,,,
98,64.0,505.0,,,,
99,50.0,353.0,,,,
100,40.0,315.0,,,,
101,57.0,405.0,,,,
102,53.0,357.0,,,,
103,51.0,496.0,,,,
104,20.0,174.0,,,,
105,51.0,422.0,,,,
106,56.0,384.0,,,,
107,71.0,504.0,,,,
108,55.0,502.0,,,,
109,74.0,491.0,,,,
110,65.0,428.0,,,,
111,21.0,134.0,,,,
112,78.0,470.0,,,,
113,44.0,356.0,,,,
114,49.0,396.0,,,,
115,19.0,142.0,,,,
116,48.0,410.0,,,,
117,68.0,524.0,,,,
118,99.0,859.0,,,,
119,56.0,359.0,,,,
120,53.0,464.0,,,,
121,68.0,505.0,,,,
122,44.0,403.0,,,,
123,20.0,168.0,,,,
124,38.0,364.0,,,,
125,81.0,601.0,,,,
126,58.0,387.0,,,,
127,43.0,448.0,,,,
128,47.0,426.0,,,,
129,79.0,762.0,,,,
130,57.0,505.0,,,,
131,65.0,565.0,,,,
132,31.0,322.0,,,,
133,42.0,400.0,,,,
134,44.0,394.0,,,,
135,50.0,459.0,,,,
136,76.0,500.0,,,,
137,53.0,412.0,,,,
138,54.0,499.0,,,,
139,72.0,505.0,,,,
140,49.0,420.0,,,,
141,63.0,420.0,,,,
142,69.0,512.0,,,,
143,75.0,538.0,,,,
144,36.0,306.0,,,,
145,51.0,340.0,,,,
146,53.0,334.0,,,,
147,36.0,347.0,,,,
148,33.0,341.0,,,,
149,28.0,252.0,,,,
150,60.0,416.0,,,,
151,43.0,415.0,,,,
152,24.0,211.0,,,,
153,62.0,507.0,,,,
154,35.0,386.0,,,,
155,79.0,472.0,,,,
156,42.0,359.0,,,,
