ArtistCodePK,ArtistGeoCodeFK,Name,Gender,Nationality
ART0001,AGEO0001,99 posse,M,Italia
ART0002,AGEO0002,achille lauro,M,Italia
ART0003,AGEO0003,alfa,M,Italia
ART0004,AGEO0004,anna pepe,F,Italia
ART0005,AGEO0005,articolo 31,M,Italia
ART0006,AGEO0006,babaman,M,Italia
ART0007,AGEO0007,baby k,F,Italia
ART0008,AGEO0005,bassi maestro,M,Italia
ART0009,AGEO0008,beba,F,Italia
ART0010,AGEO0009,bigmama,F,Italia
ART0011,AGEO0010,brusco,M,Italia
ART0012,AGEO0004,bushwaka,M,Italia
ART0013,AGEO0005,caneda,M,Italia
ART0014,AGEO0011,caparezza,M,Italia
ART0015,AGEO0012,capo plaza,M,Italia
ART0016,AGEO0003,chadia rodriguez,F,Italia
ART0017,AGEO0009,clementino,M,Italia
ART0018,AGEO0005,club dogo,M,Italia
ART0019,AGEO0013,coez,M,Italia
ART0020,AGEO0010,colle der fomento,M,Italia
ART0021,AGEO0010,cor veleno,M,Italia
ART0022,AGEO0004,dani faiv,M,Italia
ART0023,AGEO0005,dargen d_amico,M,Italia
ART0024,AGEO0010,dark polo gang,M,Italia
ART0025,AGEO0014,doll kill,F,Italia
ART0026,AGEO0005,don joe,M,Italia
ART0027,AGEO0015,drefgold,M,Italia
ART0028,AGEO0016,emis killa,M,Italia
ART0029,AGEO0017,ensi,M,Italia
ART0030,AGEO0005,entics,M,Italia
ART0031,AGEO0005,ernia,M,Italia
ART0032,AGEO0018,eva rea,F,Italia
ART0033,AGEO0019,fabri fibra,M,Italia
ART0034,AGEO0005,fedez,M,Italia
ART0035,AGEO0020,frah quintale,M,Italia
ART0036,AGEO0008,frankie hi-nrg mc,M,Italia
ART0037,AGEO0008,fred de palma,M,Italia
ART0038,AGEO0010,gemitaiz,M,Italia
ART0039,AGEO0001,geolier,M,Italia
ART0040,AGEO0005,ghali,M,Italia
ART0041,AGEO0009,ghemon,M,Italia
ART0042,AGEO0005,grido,M,Italia
ART0043,AGEO0005,guè pequeno,M,Italia
ART0044,AGEO0021,hell raton,M,Italia
ART0045,AGEO0022,hindaco,F,Italia
ART0046,AGEO0010,il tre,M,Italia
ART0047,AGEO0010,inoki,M,Italia
ART0048,AGEO0005,j-ax,M,Italia
ART0049,AGEO0005,jack the smoker,M,Italia
ART0050,AGEO0005,jake la furia,M,Italia
ART0051,AGEO0023,joey funboy,F,Italia
ART0052,AGEO0024,johnny marsiglia,M,Italia
ART0053,AGEO0025,la pina,F,Italia
ART0054,AGEO0001,lazza,M,Italia
ART0055,AGEO0001,luchè,M,Italia
ART0056,AGEO0026,madame,F,Italia
ART0057,AGEO0027,madman,M,Italia
ART0058,AGEO0005,mahmood,M,Italia
ART0059,AGEO0026,mambolosco,M,Italia
ART0060,AGEO0028,marracash,M,Italia
ART0061,AGEO0029,massimo pericolo,M,Italia
ART0062,AGEO0009,mike24,M,Italia
ART0063,AGEO0005,miss keta,F,Italia
ART0064,AGEO0030,miss simpatia,F,Italia
ART0065,AGEO0031,mistaman,M,Italia
ART0066,AGEO0005,mistico,M,Italia
ART0067,AGEO0005,mondo marcio,M,Italia
ART0068,AGEO0032,mr. rain,M,Italia
ART0069,AGEO0033,mudimbi,M,Italia
ART0070,AGEO0013,neffa,M,Italia
ART0071,AGEO0005,nerone,M,Italia
ART0072,AGEO0019,nesli,M,Italia
ART0073,AGEO0005,niky savage,M,
ART0074,AGEO0026,nitro,M,Italia
ART0075,AGEO0010,noyz narcos,M,Italia
ART0076,AGEO0001,o zulù,M,Italia
ART0077,AGEO0034,papa v,M,Italia
ART0078,AGEO0010,piotta,M,Italia
ART0079,AGEO0035,priestess,F,Italia
ART0080,AGEO0010,rancore,M,Italia
ART0081,AGEO0005,rkomi,M,Italia
ART0082,AGEO0012,rocco hunt,M,Italia
ART0083,AGEO0005,rondodasosa,M,Italia
ART0084,AGEO0008,rosa chemical,M,Italia
ART0085,AGEO0005,rose villain,F,Italia
ART0086,AGEO0036,roshelle,F,Italia
ART0087,AGEO0021,salmo,M,Italia
ART0088,AGEO0004,samuel heron,M,Italia
ART0089,AGEO0005,sfera ebbasta,M,Italia
ART0090,AGEO0037,shablo,M,Argentina
ART0091,AGEO0008,shade,M,Italia
ART0092,AGEO0005,shiva,M,Italia
ART0093,AGEO0038,skioffi,M,Italia
ART0094,AGEO0021,slait,M,Italia
ART0095,AGEO0039,sottotono,M,Italia
ART0096,AGEO0003,tedua,M,Italia
ART0097,AGEO0040,thasup,M,Italia
ART0098,AGEO0041,tony boy,M,Italia
ART0099,AGEO0010,tony effe,M,Italia
ART0100,AGEO0042,tormento,M,Italia
ART0101,AGEO0043,vacca,M,Italia
ART0102,AGEO0008,willie peyote,M,Italia
ART0103,AGEO0044,yeиdry,F,
ART0104,AGEO0001,yung snapp,M,Italia
