DateCodePK,Year,Month,Day,Season
DAT0001,2021,2021202104,202120210420210402,Spring
DAT0002,2020,2020202003,202020200320200306,Winter
DAT0003,2021,2021202102,202120210220210219,Winter
DAT0004,2019,2019201903,201920190320190308,Winter
DAT0005,2020,2020202005,202020200520200529,Spring
DAT0006,2020,2020202005,202020200520200521,Spring
DAT0007,2020,2020202004,202020200420200417,Spring
DAT0008,2023,2023202302,202320230220230208,Winter
DAT0009,2022,2022202206,202220220620220603,Spring
DAT0010,2019,2019201906,201920190620190607,Spring
DAT0011,2019,2019201902,201920190220190207,Winter
DAT0012,2019,2019201904,201920190420190416,Spring
DAT0013,2020,2020202003,202020200320200313,Winter
DAT0014,2019,2019201909,201920190920190920,Summer
DAT0015,2019,2019201901,201920190120190114,Winter
DAT0016,2025,2025202505,202520250520250516,Spring
DAT0017,2018,2018201806,201820180620180615,Spring
DAT0018,2019,2019201907,201920190720190710,Summer
DAT0019,2020,2020202001,202020200120200117,Winter
DAT0020,2020,2020202010,202020201020201002,Autumn
DAT0021,2023,2023202305,202320230520230519,Spring
DAT0022,2019,2019201912,201920191220191230,Winter
DAT0023,2024,2024202406,202420240620240621,Summer
DAT0024,2020,2020202012,202020201220201225,Winter
DAT0025,2022,2022202211,202220221120221104,Autumn
DAT0026,2019,2019201908,201920190820190813,Summer
DAT0027,2020,2020202004,202020200420200407,Spring
DAT0028,2024,2024202403,202420240320240301,Winter
DAT0029,2018,2018201812,201820181220181220,Autumn
DAT0030,2018,2018201812,201820181220181205,Autumn
DAT0031,2018,2018201811,201820181120181112,Autumn
DAT0032,2020,2020202001,202020200120200124,Winter
DAT0033,2020,2020202006,202020200620200610,Spring
DAT0034,2015,2015201511,201520151120151117,Autumn
DAT0035,2015,2015201509,201520150920150907,Summer
DAT0036,2025,2025202505,202520250520250502,Spring
DAT0037,2015,2015201511,201520151120151126,Autumn
DAT0038,2015,2015201511,201520151120151122,Autumn
DAT0039,2015,2015201511,201520151120151102,Autumn
DAT0040,2016,2016201601,201620160120160127,Winter
DAT0041,2025,2025202505,202520250520250522,Spring
DAT0042,2015,2015201511,201520151120151129,Autumn
DAT0043,2025,2025202505,202520250520250505,Spring
DAT0044,2018,2018201812,201820181220181211,Autumn
DAT0045,2018,2018201803,201820180320180306,Winter
DAT0046,2019,2019201905,201920190520190524,Spring
DAT0047,2021,2021202105,202120210520210528,Spring
