GroupFK,FeaturedArtistFK
GRP0001,ART0031
GRP0003,ART0059
GRP0005,ART0081
GRP0008,ART0022
GRP0073,ART0054
GRP0095,ART0102
GRP0116,ART0100
GRP0139,ART0084
GRP0152,ART0084
GRP0202,ART0087
GRP0205,ART0060
GRP0207,ART0022
GRP0208,ART0038
GRP0208,ART0057
GRP0213,ART0054
GRP0216,ART0054
GRP0216,ART0089
GRP0219,ART0033
GRP0220,ART0083
GRP0221,ART0058
GRP0225,ART0096
GRP0227,ART0019
GRP0237,ART0081
GRP0243,ART0092
GRP0244,ART0087
GRP0269,ART0054
GRP0306,ART0039
GRP0314,ART0059
GRP0330,ART0074
GRP0330,ART0087
GRP0334,ART0083
GRP0336,ART0096
GRP0337,ART0015
GRP0338,ART0097
GRP0339,ART0015
GRP0339,ART0089
GRP0342,ART0089
GRP0346,ART0055
GRP0347,ART0038
GRP0350,ART0089
GRP0355,ART0039
GRP0355,ART0092
GRP0357,ART0040
GRP0359,ART0028
GRP0361,ART0092
GRP0364,ART0099
GRP0366,ART0060
GRP0372,ART0039
GRP0375,ART0075
GRP0377,ART0028
GRP0378,ART0033
GRP0392,ART0033
GRP0415,ART0096
GRP0443,ART0028
GRP0502,ART0060
GRP0508,ART0060
GRP0509,ART0089
GRP0510,ART0040
GRP0514,ART0038
GRP0514,ART0087
GRP0515,ART0074
GRP0518,ART0033
GRP0521,ART0050
GRP0522,ART0074
GRP0525,ART0028
GRP0525,ART0050
GRP0527,ART0029
GRP0527,ART0050
GRP0528,ART0074
GRP0528,ART0038
GRP0529,ART0074
GRP0529,ART0033
GRP0529,ART0050
GRP0529,ART0038
GRP0530,ART0038
GRP0533,ART0087
GRP0541,ART0054
GRP0546,ART0017
GRP0549,ART0087
GRP0549,ART0050
GRP0560,ART0082
GRP0566,ART0048
GRP0582,ART0100
GRP0588,ART0101
GRP0588,ART0049
GRP0589,ART0057
GRP0605,ART0029
GRP0605,ART0038
GRP0610,ART0049
GRP0614,ART0022
GRP0624,ART0074
GRP0624,ART0049
GRP0631,ART0022
GRP0666,ART0094
GRP0695,ART0008
GRP0750,ART0029
GRP0793,ART0015
GRP0796,ART0089
GRP0798,ART0060
GRP0799,ART0060
GRP0800,ART0054
GRP0800,ART0087
GRP0801,ART0085
GRP0801,ART0055
GRP0804,ART0054
GRP0805,ART0089
GRP0806,ART0039
GRP0809,ART0013
GRP0810,ART0035
GRP0812,ART0055
GRP0812,ART0060
GRP0813,ART0060
GRP0820,ART0089
GRP0823,ART0038
GRP0823,ART0075
GRP0825,ART0015
GRP0827,ART0089
GRP0829,ART0031
GRP0830,ART0039
GRP0834,ART0075
GRP0836,ART0058
GRP0836,ART0060
GRP0837,ART0055
GRP0838,ART0099
GRP0842,ART0054
GRP0845,ART0060
GRP0847,ART0085
GRP0849,ART0055
GRP0855,ART0087
GRP0863,ART0089
GRP0863,ART0027
GRP0865,ART0061
GRP0866,ART0085
GRP0882,ART0099
GRP0886,ART0019
GRP0891,ART0060
GRP0891,ART0081
GRP0902,ART0039
GRP0913,ART0058
GRP0917,ART0092
GRP0918,ART0033
GRP0923,ART0058
GRP0931,ART0075
GRP0931,ART0060
GRP0934,ART0029
GRP0934,ART0030
GRP0934,ART0050
GRP0934,ART0060
GRP0935,ART0013
GRP0938,ART0031
GRP0946,ART0035
GRP0948,ART0050
GRP0949,ART0028
GRP0949,ART0101
GRP0952,ART0007
GRP0953,ART0030
GRP0958,ART0029
GRP0959,ART0040
GRP0959,ART0099
GRP0962,ART0034
GRP0964,ART0017
GRP0966,ART0031
GRP0966,ART0100
GRP0967,ART0100
GRP0970,ART0075
GRP0971,ART0050
GRP0976,ART0034
GRP0978,ART0028
GRP0979,ART0087
GRP0980,ART0060
GRP0985,ART0077
GRP0986,ART0060
GRP0988,ART0029
GRP0991,ART0099
GRP0994,ART0098
GRP0995,ART0060
GRP0999,ART0040
GRP0999,ART0031
GRP1001,ART0050
GRP1006,ART0048
GRP1008,ART0050
GRP1009,ART0006
GRP1010,ART0075
GRP1013,ART0060
GRP1013,ART0050
GRP1021,ART0013
GRP1024,ART0038
GRP1026,ART0008
GRP1026,ART0049
GRP1027,ART0049
GRP1029,ART0060
GRP1032,ART0060
GRP1034,ART0028
GRP1042,ART0101
GRP1043,ART0047
GRP1045,ART0030
GRP1045,ART0029
GRP1045,ART0060
GRP1045,ART0050
GRP1047,ART0013
GRP1056,ART0030
GRP1060,ART0100
GRP1065,ART0060
GRP1067,ART0026
GRP1077,ART0060
GRP1083,ART0030
GRP1090,ART0029
GRP1092,ART0060
GRP1104,ART0060
GRP1177,ART0028
GRP1179,ART0090
GRP1200,ART0089
GRP1200,ART0027
GRP1201,ART0040
GRP1223,ART0054
GRP1228,ART0089
GRP1229,ART0098
GRP1233,ART0092
GRP1237,ART0096
GRP1267,ART0058
GRP1268,ART0099
GRP1282,ART0099
GRP1284,ART0089
GRP1317,ART0087
GRP1320,ART0028
GRP1321,ART0056
GRP1340,ART0096
GRP1364,ART0002
GRP1373,ART0096
GRP1458,ART0101
GRP1478,ART0061
GRP1479,ART0089
GRP1493,ART0033
GRP1498,ART0096
GRP1505,ART0015
GRP1507,ART0039
GRP1538,ART0080
GRP1540,ART0014
GRP1575,ART0021
GRP1606,ART0008
GRP1635,ART0050
GRP1662,ART0057
GRP1664,ART0038
GRP1671,ART0014
GRP1681,ART0033
GRP1694,ART0087
GRP1695,ART0039
