TextCodePK,n_sentences,n_tokens,Is_Explicit,N_Swear_Words_IT,N_Swear_Words_EN
TXT0001,102.0,911.0,,,
TXT0002,56.0,675.0,,,
TXT0003,88.0,758.0,,,
TXT0004,37.0,382.0,,,
TXT0005,48.0,429.0,,,
TXT0006,62.0,387.0,,,
TXT0007,82.0,680.0,,,
TXT0008,82.0,657.0,,,
TXT0009,82.0,584.0,,,
TXT0010,50.0,589.0,,,
TXT0011,54.0,487.0,,,
TXT0012,51.0,497.0,,,
TXT0013,57.0,332.0,,,
TXT0014,47.0,455.0,,,
TXT0015,48.0,441.0,,,
TXT0016,28.0,253.0,,,
TXT0017,48.0,422.0,,,
TXT0018,47.0,357.0,,,
TXT0019,50.0,406.0,,,
TXT0020,74.0,812.0,,,
TXT0021,83.0,870.0,,,
TXT0022,72.0,556.0,,,
TXT0023,16.0,118.0,,,
TXT0024,71.0,337.0,,,
TXT0025,28.0,236.0,,,
TXT0026,41.0,461.0,,,
TXT0027,25.0,236.0,,,
TXT0028,50.0,492.0,,,
TXT0029,18.0,118.0,,,
TXT0030,47.0,497.0,,,
TXT0031,35.0,267.0,,,
TXT0032,54.0,719.0,,,
TXT0033,90.0,392.0,,,
TXT0034,61.0,461.0,,,
TXT0035,37.0,401.0,,,
TXT0036,53.0,559.0,,,
TXT0037,123.0,1139.0,,,
TXT0038,66.0,450.0,,,
TXT0039,84.0,455.0,,,
TXT0040,51.0,536.0,,,
TXT0041,32.0,327.0,,,
TXT0042,51.0,410.0,,,
TXT0043,24.0,214.0,,,
TXT0044,55.0,458.0,,,
TXT0045,93.0,850.0,,,
TXT0046,92.0,561.0,,,
TXT0047,51.0,537.0,,,
TXT0048,17.0,104.0,,,
TXT0049,62.0,630.0,,,
TXT0050,25.0,189.0,,,
TXT0051,27.0,241.0,,,
TXT0052,43.0,521.0,,,
TXT0053,23.0,130.0,,,
TXT0054,40.0,365.0,,,
TXT0055,51.0,187.0,,,
TXT0056,20.0,178.0,,,
TXT0057,34.0,294.0,,,
TXT0058,83.0,677.0,,,
TXT0059,1.0,4.0,,,
TXT0060,59.0,616.0,,,
TXT0061,44.0,438.0,,,
TXT0062,1.0,6.0,,,
TXT0063,87.0,805.0,,,
TXT0064,88.0,878.0,,,
TXT0065,76.0,604.0,,,
TXT0066,2.0,5.0,,,
TXT0067,176.0,1506.0,,,
TXT0068,72.0,671.0,,,
TXT0069,1.0,7.0,,,
TXT0070,30.0,278.0,,,
TXT0071,55.0,492.0,,,
TXT0072,20.0,146.0,,,
TXT0073,55.0,523.0,,,
TXT0074,69.0,690.0,,,
TXT0075,42.0,323.0,,,
TXT0076,72.0,584.0,,,
TXT0077,47.0,397.0,,,
TXT0078,75.0,712.0,,,
TXT0079,46.0,367.0,,,
TXT0080,44.0,469.0,,,
TXT0081,49.0,544.0,,,
TXT0082,27.0,178.0,,,
TXT0083,50.0,333.0,,,
TXT0084,38.0,270.0,,,
TXT0085,50.0,376.0,,,
TXT0086,21.0,208.0,,,
TXT0087,43.0,422.0,,,
TXT0088,78.0,536.0,,,
TXT0089,55.0,462.0,,,
TXT0090,93.0,628.0,,,
TXT0091,53.0,433.0,,,
TXT0092,47.0,417.0,,,
TXT0093,67.0,535.0,,,
TXT0094,47.0,400.0,,,
TXT0095,68.0,517.0,,,
TXT0096,58.0,541.0,,,
TXT0097,70.0,359.0,,,
TXT0098,64.0,505.0,,,
TXT0099,50.0,353.0,,,
TXT0100,40.0,315.0,,,
TXT0101,57.0,405.0,,,
TXT0102,53.0,357.0,,,
TXT0103,51.0,496.0,,,
TXT0104,20.0,174.0,,,
TXT0105,51.0,422.0,,,
TXT0106,56.0,384.0,,,
TXT0107,71.0,504.0,,,
TXT0108,55.0,502.0,,,
TXT0109,74.0,491.0,,,
TXT0110,65.0,428.0,,,
TXT0111,21.0,134.0,,,
TXT0112,78.0,470.0,,,
TXT0113,44.0,356.0,,,
TXT0114,49.0,396.0,,,
TXT0115,19.0,142.0,,,
TXT0116,48.0,410.0,,,
TXT0117,68.0,524.0,,,
TXT0118,99.0,859.0,,,
TXT0119,56.0,359.0,,,
TXT0120,53.0,464.0,,,
TXT0121,68.0,505.0,,,
TXT0122,44.0,403.0,,,
TXT0123,20.0,168.0,,,
TXT0124,38.0,364.0,,,
TXT0125,81.0,601.0,,,
TXT0126,58.0,387.0,,,
TXT0127,43.0,448.0,,,
TXT0128,47.0,426.0,,,
TXT0129,79.0,762.0,,,
TXT0130,57.0,505.0,,,
TXT0131,65.0,565.0,,,
TXT0132,31.0,322.0,,,
TXT0133,42.0,400.0,,,
TXT0134,44.0,394.0,,,
TXT0135,50.0,459.0,,,
TXT0136,76.0,500.0,,,
TXT0137,53.0,412.0,,,
TXT0138,54.0,499.0,,,
TXT0139,72.0,505.0,,,
TXT0140,49.0,420.0,,,
TXT0141,63.0,420.0,,,
TXT0142,69.0,512.0,,,
TXT0143,75.0,538.0,,,
TXT0144,36.0,306.0,,,
TXT0145,51.0,340.0,,,
TXT0146,53.0,334.0,,,
TXT0147,36.0,347.0,,,
TXT0148,33.0,341.0,,,
TXT0149,28.0,252.0,,,
TXT0150,60.0,416.0,,,
TXT0151,43.0,415.0,,,
TXT0152,24.0,211.0,,,
TXT0153,62.0,507.0,,,
TXT0154,35.0,386.0,,,
TXT0155,79.0,472.0,,,
TXT0156,42.0,359.0,,,
TXT0157,29.0,235.0,,,
TXT0158,31.0,231.0,,,
TXT0159,38.0,380.0,,,
TXT0160,51.0,347.0,,,
TXT0161,61.0,439.0,,,
TXT0162,72.0,525.0,,,
TXT0163,37.0,269.0,,,
TXT0164,29.0,259.0,,,
TXT0165,47.0,296.0,,,
TXT0166,35.0,284.0,,,
TXT0167,40.0,382.0,,,
TXT0168,6.0,45.0,,,
TXT0169,29.0,240.0,,,
TXT0170,38.0,364.0,,,
TXT0171,24.0,119.0,,,
TXT0172,33.0,280.0,,,
TXT0173,59.0,350.0,,,
TXT0174,42.0,397.0,,,
TXT0175,22.0,154.0,,,
TXT0176,52.0,407.0,,,
TXT0177,24.0,219.0,,,
TXT0178,44.0,359.0,,,
TXT0179,19.0,161.0,,,
TXT0180,64.0,567.0,,,
TXT0181,20.0,162.0,,,
TXT0182,16.0,145.0,,,
TXT0183,26.0,252.0,,,
TXT0184,79.0,443.0,,,
TXT0185,79.0,612.0,,,
TXT0186,45.0,401.0,,,
TXT0187,43.0,307.0,,,
TXT0188,46.0,222.0,,,
TXT0189,46.0,456.0,,,
TXT0190,69.0,461.0,,,
TXT0191,50.0,304.0,,,
TXT0192,70.0,241.0,,,
TXT0193,71.0,501.0,,,
TXT0194,67.0,546.0,,,
TXT0195,26.0,292.0,,,
TXT0196,28.0,127.0,,,
TXT0197,56.0,472.0,,,
TXT0198,23.0,212.0,,,
TXT0199,43.0,482.0,,,
TXT0200,81.0,726.0,,,
TXT0201,65.0,683.0,,,
TXT0202,59.0,510.0,,,
TXT0203,64.0,535.0,,,
TXT0204,54.0,662.0,,,
TXT0205,60.0,498.0,,,
TXT0206,86.0,824.0,,,
TXT0207,66.0,553.0,,,
TXT0208,79.0,844.0,,,
TXT0209,48.0,414.0,,,
TXT0210,73.0,719.0,,,
TXT0211,47.0,503.0,,,
TXT0212,35.0,255.0,,,
TXT0213,57.0,567.0,,,
TXT0214,51.0,476.0,,,
TXT0215,38.0,323.0,,,
TXT0216,73.0,640.0,,,
TXT0217,29.0,262.0,,,
TXT0218,29.0,351.0,,,
TXT0219,46.0,383.0,,,
TXT0220,104.0,939.0,,,
TXT0221,61.0,454.0,,,
TXT0222,20.0,227.0,,,
TXT0223,60.0,484.0,,,
TXT0224,53.0,465.0,,,
TXT0225,68.0,713.0,,,
TXT0226,40.0,372.0,,,
TXT0227,64.0,479.0,,,
TXT0228,59.0,485.0,,,
TXT0229,82.0,753.0,,,
TXT0230,49.0,426.0,,,
TXT0231,59.0,667.0,,,
TXT0232,34.0,404.0,,,
TXT0233,40.0,354.0,,,
TXT0234,36.0,313.0,,,
TXT0235,75.0,565.0,,,
TXT0236,45.0,511.0,,,
TXT0237,62.0,572.0,,,
TXT0238,44.0,324.0,,,
TXT0239,53.0,468.0,,,
TXT0240,50.0,587.0,,,
TXT0241,38.0,308.0,,,
TXT0242,47.0,329.0,,,
TXT0243,81.0,504.0,,,
TXT0244,51.0,496.0,,,
TXT0245,41.0,327.0,,,
TXT0246,48.0,380.0,,,
TXT0247,45.0,339.0,,,
TXT0248,54.0,562.0,,,
TXT0249,27.0,159.0,,,
TXT0250,36.0,316.0,,,
TXT0251,53.0,499.0,,,
TXT0252,34.0,243.0,,,
TXT0253,35.0,323.0,,,
TXT0254,63.0,449.0,,,
TXT0255,29.0,181.0,,,
TXT0256,57.0,563.0,,,
TXT0257,12.0,126.0,,,
TXT0258,61.0,657.0,,,
TXT0259,35.0,283.0,,,
TXT0260,22.0,163.0,,,
TXT0261,21.0,243.0,,,
TXT0262,20.0,174.0,,,
TXT0263,16.0,130.0,,,
TXT0264,40.0,310.0,,,
TXT0265,2.0,28.0,,,
TXT0266,31.0,266.0,,,
TXT0267,24.0,185.0,,,
TXT0268,43.0,414.0,,,
TXT0269,81.0,611.0,,,
TXT0270,12.0,112.0,,,
TXT0271,50.0,408.0,,,
TXT0272,24.0,209.0,,,
TXT0273,1.0,20.0,,,
TXT0274,33.0,244.0,,,
TXT0275,29.0,193.0,,,
TXT0276,18.0,104.0,,,
TXT0277,25.0,390.0,,,
TXT0278,1.0,27.0,,,
TXT0279,31.0,142.0,,,
TXT0280,1.0,4.0,,,
TXT0281,21.0,94.0,,,
TXT0282,6.0,57.0,,,
TXT0283,80.0,705.0,,,
TXT0284,12.0,106.0,,,
TXT0285,45.0,467.0,,,
TXT0286,1.0,18.0,,,
TXT0287,43.0,446.0,,,
TXT0288,1.0,25.0,,,
TXT0289,1.0,18.0,,,
TXT0290,29.0,286.0,,,
TXT0291,3.0,34.0,,,
TXT0292,15.0,113.0,,,
TXT0293,51.0,576.0,,,
TXT0294,26.0,226.0,,,
TXT0295,30.0,332.0,,,
TXT0296,1.0,19.0,,,
TXT0297,39.0,407.0,,,
TXT0298,15.0,105.0,,,
TXT0299,31.0,217.0,,,
TXT0300,36.0,235.0,,,
TXT0301,9.0,46.0,,,
TXT0302,14.0,141.0,,,
TXT0303,13.0,109.0,,,
TXT0304,12.0,59.0,,,
TXT0305,53.0,704.0,,,
TXT0306,60.0,536.0,,,
TXT0307,47.0,485.0,,,
TXT0308,37.0,271.0,,,
TXT0309,55.0,573.0,,,
TXT0310,59.0,630.0,,,
TXT0311,53.0,650.0,,,
TXT0312,49.0,573.0,,,
TXT0313,60.0,578.0,,,
TXT0314,53.0,500.0,,,
TXT0315,52.0,534.0,,,
TXT0316,45.0,421.0,,,
TXT0317,58.0,561.0,,,
TXT0318,52.0,460.0,,,
TXT0319,50.0,523.0,,,
TXT0320,49.0,617.0,,,
TXT0321,63.0,730.0,,,
TXT0322,47.0,470.0,,,
TXT0323,28.0,286.0,,,
TXT0324,52.0,495.0,,,
TXT0325,44.0,671.0,,,
TXT0326,56.0,467.0,,,
TXT0327,61.0,551.0,,,
TXT0328,52.0,398.0,,,
TXT0329,47.0,527.0,,,
TXT0330,70.0,685.0,,,
TXT0331,51.0,548.0,,,
TXT0332,76.0,539.0,,,
TXT0333,67.0,684.0,,,
TXT0334,64.0,619.0,,,
TXT0335,60.0,647.0,,,
TXT0336,67.0,594.0,,,
TXT0337,59.0,611.0,,,
TXT0338,57.0,520.0,,,
TXT0339,62.0,613.0,,,
TXT0340,68.0,680.0,,,
TXT0341,66.0,745.0,,,
TXT0342,53.0,420.0,,,
TXT0343,44.0,444.0,,,
TXT0344,59.0,519.0,,,
TXT0345,91.0,654.0,,,
TXT0346,58.0,500.0,,,
TXT0347,56.0,593.0,,,
TXT0348,91.0,825.0,,,
TXT0349,36.0,405.0,,,
TXT0350,53.0,488.0,,,
TXT0351,55.0,540.0,,,
TXT0352,59.0,615.0,,,
TXT0353,72.0,784.0,,,
TXT0354,53.0,412.0,,,
TXT0355,56.0,537.0,,,
TXT0356,67.0,654.0,,,
TXT0357,74.0,636.0,,,
TXT0358,80.0,528.0,,,
TXT0359,49.0,546.0,,,
TXT0360,63.0,699.0,,,
TXT0361,60.0,453.0,,,
TXT0362,55.0,453.0,,,
TXT0363,68.0,378.0,,,
TXT0364,53.0,472.0,,,
TXT0365,67.0,926.0,,,
TXT0366,44.0,410.0,,,
TXT0367,63.0,593.0,,,
TXT0368,55.0,499.0,,,
TXT0369,62.0,512.0,,,
TXT0370,54.0,403.0,,,
TXT0371,56.0,578.0,,,
TXT0372,49.0,532.0,,,
TXT0373,52.0,477.0,,,
TXT0374,61.0,612.0,,,
TXT0375,73.0,692.0,,,
TXT0376,74.0,548.0,,,
TXT0377,52.0,502.0,,,
TXT0378,58.0,452.0,,,
TXT0379,70.0,471.0,,,
TXT0380,45.0,408.0,,,
TXT0381,87.0,660.0,,,
TXT0382,55.0,622.0,,,
TXT0383,80.0,520.0,,,
TXT0384,60.0,540.0,,,
TXT0385,42.0,450.0,,,
TXT0386,66.0,541.0,,,
TXT0387,34.0,320.0,,,
TXT0388,59.0,554.0,,,
TXT0389,90.0,491.0,,,
TXT0390,65.0,734.0,,,
TXT0391,52.0,500.0,,,
TXT0392,71.0,533.0,,,
TXT0393,53.0,505.0,,,
TXT0394,44.0,370.0,,,
TXT0395,49.0,361.0,,,
TXT0396,63.0,465.0,,,
TXT0397,69.0,752.0,,,
TXT0398,69.0,685.0,,,
TXT0399,50.0,397.0,,,
TXT0400,46.0,381.0,,,
TXT0401,78.0,654.0,,,
TXT0402,52.0,562.0,,,
TXT0403,76.0,686.0,,,
TXT0404,49.0,539.0,,,
TXT0405,59.0,444.0,,,
TXT0406,59.0,529.0,,,
TXT0407,60.0,511.0,,,
TXT0408,59.0,646.0,,,
TXT0409,69.0,854.0,,,
TXT0410,63.0,655.0,,,
TXT0411,61.0,470.0,,,
TXT0412,94.0,633.0,,,
TXT0413,55.0,308.0,,,
TXT0414,75.0,747.0,,,
TXT0415,61.0,509.0,,,
TXT0416,47.0,435.0,,,
TXT0417,72.0,726.0,,,
TXT0418,55.0,592.0,,,
TXT0419,39.0,352.0,,,
TXT0420,61.0,514.0,,,
TXT0421,32.0,237.0,,,
TXT0422,54.0,617.0,,,
TXT0423,65.0,523.0,,,
TXT0424,32.0,350.0,,,
TXT0425,41.0,408.0,,,
TXT0426,26.0,271.0,,,
TXT0427,49.0,414.0,,,
TXT0428,46.0,404.0,,,
TXT0429,57.0,363.0,,,
TXT0430,51.0,481.0,,,
TXT0431,37.0,392.0,,,
TXT0432,43.0,437.0,,,
TXT0433,61.0,647.0,,,
TXT0434,59.0,453.0,,,
TXT0435,49.0,445.0,,,
TXT0436,15.0,179.0,,,
TXT0437,85.0,975.0,,,
TXT0438,40.0,441.0,,,
TXT0439,58.0,456.0,,,
TXT0440,80.0,487.0,,,
TXT0441,49.0,360.0,,,
TXT0442,32.0,322.0,,,
TXT0443,65.0,663.0,,,
TXT0444,71.0,693.0,,,
TXT0445,52.0,481.0,,,
TXT0446,55.0,492.0,,,
TXT0447,12.0,105.0,,,
TXT0448,68.0,575.0,,,
TXT0449,40.0,227.0,,,
TXT0450,19.0,179.0,,,
TXT0451,40.0,372.0,,,
TXT0452,50.0,386.0,,,
TXT0453,63.0,434.0,,,
TXT0454,51.0,422.0,,,
TXT0455,76.0,617.0,,,
TXT0456,46.0,378.0,,,
TXT0457,78.0,568.0,,,
TXT0458,45.0,471.0,,,
TXT0459,47.0,336.0,,,
TXT0460,63.0,477.0,,,
TXT0461,52.0,474.0,,,
TXT0462,25.0,231.0,,,
TXT0463,70.0,553.0,,,
TXT0464,34.0,297.0,,,
TXT0465,27.0,205.0,,,
TXT0466,46.0,409.0,,,
TXT0467,64.0,473.0,,,
TXT0468,18.0,139.0,,,
TXT0469,31.0,282.0,,,
TXT0470,27.0,284.0,,,
TXT0471,49.0,355.0,,,
TXT0472,77.0,742.0,,,
TXT0473,42.0,368.0,,,
TXT0474,58.0,462.0,,,
TXT0475,59.0,581.0,,,
TXT0476,28.0,230.0,,,
TXT0477,110.0,790.0,,,
TXT0478,12.0,165.0,,,
TXT0479,45.0,428.0,,,
TXT0480,45.0,403.0,,,
TXT0481,54.0,434.0,,,
TXT0482,57.0,540.0,,,
TXT0483,17.0,137.0,,,
TXT0484,60.0,477.0,,,
TXT0485,66.0,496.0,,,
TXT0486,31.0,265.0,,,
TXT0487,63.0,609.0,,,
TXT0488,46.0,420.0,,,
TXT0489,28.0,260.0,,,
TXT0490,16.0,184.0,,,
TXT0491,45.0,389.0,,,
TXT0492,77.0,556.0,,,
TXT0493,35.0,356.0,,,
TXT0494,55.0,427.0,,,
TXT0495,61.0,502.0,,,
TXT0496,37.0,406.0,,,
TXT0497,57.0,616.0,,,
TXT0498,1.0,16.0,,,
TXT0499,60.0,463.0,,,
TXT0500,55.0,499.0,,,
TXT0501,60.0,540.0,,,
TXT0502,44.0,425.0,,,
TXT0503,52.0,562.0,,,
TXT0504,61.0,612.0,,,
TXT0505,67.0,926.0,,,
TXT0506,60.0,647.0,,,
TXT0507,59.0,529.0,,,
TXT0508,44.0,410.0,,,
TXT0509,53.0,420.0,,,
TXT0510,74.0,638.0,,,
TXT0511,49.0,468.0,,,
TXT0512,55.0,499.0,,,
TXT0513,1.0,7.0,,,
TXT0514,116.0,896.0,,,
TXT0515,94.0,1056.0,,,
TXT0516,84.0,695.0,,,
TXT0517,64.0,500.0,,,
TXT0518,73.0,802.0,,,
TXT0519,62.0,602.0,,,
TXT0520,67.0,720.0,,,
TXT0521,70.0,693.0,,,
TXT0522,50.0,467.0,,,
TXT0523,119.0,1068.0,,,
TXT0524,99.0,882.0,,,
TXT0525,82.0,881.0,,,
TXT0526,46.0,578.0,,,
TXT0527,71.0,723.0,,,
