AlbumCodePK,AlbumTitle,AlbumType,AlbumReleaseDate
1,FOREVER AND EVER,album,2021-04-09
2,OKAY OKAY 2,single,2025-05-16
3,FOREVER,album,2020-05-28
4,MADE IN ITALY,single,2023-02-09
5,POLKA 3,single,2022-06-02
6,Facciamolo,single,2019-06-07
7,BV3,album,2020-10-02
8,Fatass,single,2019-09-20
9,OKAY OKAY !!,album,2019-03-08
10,#digitalcity,album,2022-05-05
11,ALIENO,single,2020-01-17
12,BELLU GUAGLIONE,single,2023-05-18
13,I RAGAZZI STANNO BENE,album,2023-07-14
14,3SOME (feat. VillaBanks),single,2024-06-19
15,LA BELLAVITA,album,2025-03-28
16,non è normale,single,2022-11-03
17,COMINCIA TU (feat. Rosa Chemical),single,2022-02-05
18,BLACKOUT,single,2024-02-29
19,Cultura Italiana Pt.1,album,2024-05-31
20,Kournikova,single,2018-11-12
21,NoRd,album,2021-05-14
22,Dead Again,album,2007-03-13
23,Reversed Crash,album,2023-06-09
24,WE 2FLY,single,2024-08-02
25,The Execution Of All Things,album,2002-10-01
26,ShapeShifters,album,2008-06-17
27,Spaccio di Verità 1,single,2023-10-06
28,"TRASHBIN, Vol. 3",album,2020-07-23
29,Groupie,single,2018-12-11
30,KG0516,album,2021-03-26
31,Male O Bene,single,2019-05-24
32,"Red Bull 64 Bars, The Album",compilation,2021-05-27
33,Grizzly,single,2017-10-27
34,Morosita,single,2019-02-13
35,3nd,single,2018-02-14
36,Crisalide,album,2021-10-21
37,Vaniglia,single,2017-10-20
38,1 2 3,single,2024-05-10
39,TONICA,single,2019-10-02
40,444,single,2024-01-04
41,Chicas,single,2018-06-22
42,BANDA,single,2018-04-23
43,Fenty,single,2017-10-27
44,Introduction,album,2022-10-28
45,AIRBNB,single,2020-11-11
46,Roberta,single,2019-12-12
47,Cringe,single,2020-07-23
48,SUPERSEX (feat. Spender),single,2024-06-14
49,Regole,single,2022-06-23
50,family first,single,2021-08-19
51,Luga Pandemic,single,2023-01-01
52,Dentro di me,single,2024-02-23
53,Come Le Storie,single,2020-06-23
54,Intro,single,2021-08-19
55,X2VR,album,2023-11-17
56,Maracucho Bueno Muere Chiquito,album,2018-03-16
57,Black Panther The Album Music From And Inspired By,album,2018-02-09
58,La prima volta,single,2025-02-07
59,Mood Blu,single,2024-04-05
60,99 Visions,album,2023-12-05
61,Rolling Papers (feat. Tormento),single,2025-04-04
62,Motel Love,album,2024-06-21
63,in fieri,single,2022-12-12
64,Giù,album,2022-07-01
65,Sale,single,2025-04-04
66,VERA BADDIE,album,2024-06-27
67,Eclissi,album,2022-05-12
68,Limonare,single,2023-07-28
69,Electra Heart (Deluxe),album,2012-04-27
70,il filo rosso,single,2024-10-18
71,Before Wanderlust,album,2019-12-13
72,NoRd,album,2021-05-14
73,SANTANA MONEY GANG,album,2025-04-10
74,a me mi piace (feat. Manu Chao),single,2025-05-09
75,"Sogna, Ragazzo, Sogna",single,2024-03-06
76,Non so chi ha creato il mondo ma so che era innamorato,album,2024-02-16
