DateCodePK,Date_YYYYMMDD,Year,Month,Season
1,20210402,2021,202104,Spring
2,20200306,2020,202003,Spring
3,20210219,2021,202102,Winter
4,20190308,2019,201903,Spring
5,20200529,2020,202005,Spring
6,20200521,2020,202005,Spring
7,20200417,2020,202004,Spring
8,20230208,2023,202302,Winter
9,20220603,2022,202206,Summer
10,20190607,2019,201906,Summer
11,20190207,2019,201902,Winter
12,20190416,2019,201904,Spring
13,20200313,2020,202003,Spring
14,20190920,2019,201909,Autumn
15,20190114,2019,201901,Winter
16,20250516,2025,202505,Spring
17,20180615,2018,201806,Summer
18,20190710,2019,201907,Summer
19,20200117,2020,202001,Winter
20,20201002,2020,202010,Autumn
21,20230519,2023,202305,Spring
22,20191230,2019,201912,Winter
23,20240621,2024,202406,Summer
24,20201225,2020,202012,Winter
25,20221104,2022,202211,Autumn
26,20190813,2019,201908,Summer
27,20200407,2020,202004,Spring
28,20240301,2024,202403,Spring
29,20181220,2018,201812,Winter
30,20181205,2018,201812,Winter
31,20181112,2018,201811,Autumn
32,20200124,2020,202001,Winter
33,20200610,2020,202006,Summer
34,20151117,2015,201511,Autumn
35,20150907,2015,201509,Autumn
36,20250502,2025,202505,Spring
37,20151126,2015,201511,Autumn
38,20151122,2015,201511,Autumn
39,20151102,2015,201511,Autumn
40,20160127,2016,201601,Winter
41,20250522,2025,202505,Spring
42,20151129,2015,201511,Autumn
43,20250505,2025,202505,Spring
44,20181211,2018,201812,Winter
45,20180306,2018,201803,Spring
46,20190524,2019,201905,Spring
47,20210528,2021,202105,Spring
48,20161024,2016,201610,Autumn
49,20190213,2019,201902,Winter
50,20180214,2018,201802,Winter
51,20211022,2021,202110,Autumn
52,20171013,2017,201710,Autumn
53,20240510,2024,202405,Spring
54,20191002,2019,201910,Autumn
55,20180607,2018,201806,Summer
56,20180622,2018,201806,Summer
57,20180423,2018,201804,Spring
58,20170313,2017,201703,Spring
59,20190110,2019,201901,Winter
60,20210430,2021,202104,Spring
61,20201112,2020,202011,Autumn
62,20191213,2019,201912,Winter
63,20200724,2020,202007,Summer
64,20240614,2024,202406,Summer
65,20210910,2021,202109,Autumn
66,20220624,2022,202206,Summer
67,20200315,2020,202003,Spring
68,20240223,2024,202402,Winter
69,20200624,2020,202006,Summer
70,20151113,2015,201511,Autumn
71,20191202,2019,201912,Winter
72,20250207,2025,202502,Winter
73,20240405,2024,202404,Spring
74,20200507,2020,202005,Spring
75,20250404,2025,202504,Spring
76,20230728,2023,202307,Summer
77,20241018,2024,202410,Autumn
78,20170910,2017,201709,Autumn
79,20250509,2025,202505,Spring
80,20240306,2024,202403,Spring
81,20190319,2019,201903,Spring
82,20200716,2020,202007,Summer
83,20230929,2023,202309,Autumn
84,20230512,2023,202305,Spring
85,20180426,2018,201804,Spring
86,20191011,2019,201910,Autumn
87,20210514,2021,202105,Spring
88,20210422,2021,202104,Spring
89,20240207,2024,202402,Winter
90,20191129,2019,201911,Autumn
91,20180308,2018,201803,Spring
92,20250530,2025,202505,Spring
93,20240216,2024,202402,Winter
94,20171014,2017,201710,Autumn
95,20181008,2018,201810,Autumn
