AlbumCodePK,AlbumTitle,AlbumType
ALB0001,FOREVER AND EVER,album,2021-04-09
ALB0002,OKAY OKAY 2,single,2025-05-16
ALB0003,FOREVER,album,2020-05-28
ALB0004,MADE IN ITALY,single,2023-02-09
ALB0005,POLKA 3,single,2022-06-02
ALB0006,Facciamolo,single,2019-06-07
ALB0007,BV3,album,2020-10-02
ALB0008,Fatass,single,2019-09-20
ALB0009,OKAY OKAY !!,album,2019-03-08
ALB0010,#digitalcity,album,2022-05-05
ALB0011,ALIENO,single,2020-01-17
ALB0012,BELLU GUAGLIONE,single,2023-05-18
ALB0013,I RAGAZZI STANNO BENE,album,2023-07-14
ALB0014,3SOME (feat. VillaBanks),single,2024-06-19
ALB0015,LA BELLAVITA,album,2025-03-28
ALB0016,non è normale,single,2022-11-03
ALB0017,COMINCIA TU (feat. Rosa Chemical),single,2022-02-05
ALB0018,BLACKOUT,single,2024-02-29
ALB0019,Cultura Italiana Pt.1,album,2024-05-31
ALB0020,Kournikova,single,2018-11-12
ALB0021,NoRd,album,2021-05-14
ALB0022,Dead Again,album,2007-03-13
ALB0023,Reversed Crash,album,2023-06-09
ALB0024,WE 2FLY,single,2024-08-02
ALB0025,The Execution Of All Things,album,2002-10-01
ALB0026,ShapeShifters,album,2008-06-17
ALB0027,Spaccio di Verità 1,single,2023-10-06
ALB0028,"TRASHBIN, Vol. 3",album,2020-07-23
ALB0029,Groupie,single,2018-12-11
ALB0030,KG0516,album,2021-03-26
ALB0031,Male O Bene,single,2019-05-24
ALB0032,"Red Bull 64 Bars, The Album",compilation,2021-05-27
ALB0033,Grizzly,single,2017-10-27
ALB0034,Morosita,single,2019-02-13
ALB0035,3nd,single,2018-02-14
ALB0036,Crisalide,album,2021-10-21
ALB0037,Vaniglia,single,2017-10-20
ALB0038,1 2 3,single,2024-05-10
ALB0039,TONICA,single,2019-10-02
ALB0040,444,single,2024-01-04
ALB0041,Chicas,single,2018-06-22
ALB0042,BANDA,single,2018-04-23
ALB0043,Fenty,single,2017-10-27
ALB0044,Introduction,album,2022-10-28
ALB0045,AIRBNB,single,2020-11-11
ALB0046,Roberta,single,2019-12-12
ALB0047,Cringe,single,2020-07-23
ALB0048,SUPERSEX (feat. Spender),single,2024-06-14
ALB0049,Regole,single,2022-06-23
ALB0050,family first,single,2021-08-19
ALB0051,Luga Pandemic,single,2023-01-01
ALB0052,Dentro di me,single,2024-02-23
ALB0053,Come Le Storie,single,2020-06-23
ALB0054,Intro,single,2021-08-19
ALB0055,X2VR,album,2023-11-17
ALB0056,Maracucho Bueno Muere Chiquito,album,2018-03-16
ALB0057,Black Panther The Album Music From And Inspired By,album,2018-02-09
ALB0058,La prima volta,single,2025-02-07
ALB0059,Mood Blu,single,2024-04-05
ALB0060,99 Visions,album,2023-12-05
ALB0061,Rolling Papers (feat. Tormento),single,2025-04-04
ALB0062,Motel Love,album,2024-06-21
ALB0063,in fieri,single,2022-12-12
ALB0064,Giù,album,2022-07-01
ALB0065,Sale,single,2025-04-04
ALB0066,VERA BADDIE,album,2024-06-27
ALB0067,Eclissi,album,2022-05-12
