ArtistCodePK,ArtistGeoCodeFK,Name,Gender,Nationality
ART0001,AGEO0001,99 posse,M,,Napoli,Italia
ART0002,AGEO0002,achille lauro,M,19900711,Verona,Italia
ART0003,AGEO0003,alfa,M,,Genova,Italia
ART0004,AGEO0004,anna pepe,F,,La Spezia,Italia
ART0005,AGEO0005,articolo 31,M,,Milano,Italia
ART0006,AGEO0006,babaman,M,19750808,Rho,Italia
ART0007,AGEO0007,baby k,F,19830205,Singapore,Italia
ART0008,AGEO0005,bassi maestro,M,19730803,Milano,Italia
ART0009,AGEO0008,beba,F,,Torino,Italia
ART0010,AGEO0009,bigmama,F,,Avellino,Italia
ART0011,AGEO0010,brusco,M,,Roma,Italia
ART0012,AGEO0004,bushwaka,M,,La Spezia,Italia
ART0013,AGEO0005,caneda,M,,Milano,Italia
ART0014,AGEO0011,caparezza,M,19731009,Sternatia,Italia
ART0015,AGEO0012,capo plaza,M,19980420,Salerno,Italia
ART0016,AGEO0003,chadia rodriguez,F,19981107,Almería,Italia
ART0017,AGEO0009,clementino,M,19821221,Avellino,Italia
ART0018,AGEO0005,club dogo,M,,Milano,Italia
ART0019,AGEO0013,coez,M,19830711,Nocera Inferiore,Italia
ART0020,AGEO0010,colle der fomento,M,,Roma,Italia
ART0021,AGEO0010,cor veleno,M,,Roma,Italia
ART0022,AGEO0004,dani faiv,M,19931105,La Spezia,Italia
ART0023,AGEO0005,dargen d_amico,M,,Milano,Italia
ART0024,AGEO0010,dark polo gang,M,,Roma,Italia
ART0025,AGEO0014,doll kill,F,,Cagliari,Italia
ART0026,AGEO0005,don joe,M,19750515,Milano,Italia
ART0027,AGEO0015,drefgold,M,19970516,Bologna,Italia
ART0028,AGEO0016,emis killa,M,19891114,Vimercate,Italia
ART0029,AGEO0017,ensi,M,19851213,Alpignano,Italia
ART0030,AGEO0005,entics,M,19850316,Milano,Italia
ART0031,AGEO0005,ernia,M,19931129,Milano,Italia
ART0032,AGEO0018,eva rea,F,,Catania,Italia
ART0033,AGEO0019,fabri fibra,M,19761017,Senigallia,Italia
ART0034,AGEO0005,fedez,M,19891015,Milano,Italia
ART0035,AGEO0020,frah quintale,M,19891227,Brescia,Italia
ART0036,AGEO0008,frankie hi-nrg mc,M,19690818,Torino,Italia
ART0037,AGEO0008,fred de palma,M,19891103,Torino,Italia
ART0038,AGEO0010,gemitaiz,M,19881104,Roma,Italia
ART0039,AGEO0001,geolier,M,20000323,Napoli,Italia
ART0040,AGEO0005,ghali,M,19930521,Milano,Italia
ART0041,AGEO0009,ghemon,M,19820401,Avellino,Italia
ART0042,AGEO0005,grido,M,19790330,Milano,Italia
ART0043,AGEO0005,guè pequeno,M,,Milano,Italia
ART0044,AGEO0021,hell raton,M,19900514,Olbia,Italia
ART0045,AGEO0022,hindaco,F,,Enna,Italia
ART0046,AGEO0010,il tre,M,19970101,Roma,Italia
ART0047,AGEO0010,inoki,M,19791002,Roma,Italia
ART0048,AGEO0005,j-ax,M,19720805,Milano,Italia
ART0049,AGEO0005,jack the smoker,M,19821220,Milano,Italia
ART0050,AGEO0005,jake la furia,M,19790225,Milano,Italia
ART0051,AGEO0023,joey funboy,F,,Bolzano,Italia
ART0052,AGEO0024,johnny marsiglia,M,,Palermo,Italia
ART0053,AGEO0025,la pina,F,19700620,Firenze,Italia
ART0054,AGEO0001,lazza,M,19940822,Scampia,Italia
ART0055,AGEO0001,luchè,M,19810107,Napoli,Italia
ART0056,AGEO0026,madame,F,20020116,Vicenza,Italia
ART0057,AGEO0027,madman,M,19880725,Grottaglie,Italia
ART0058,AGEO0005,mahmood,M,19920912,Milano,Italia
ART0059,AGEO0026,mambolosco,M,19910816,Vicenza,Italia
ART0060,AGEO0028,marracash,M,19790522,Nicosia,Italia
ART0061,AGEO0029,massimo pericolo,M,19931130,Gallarate,Italia
ART0062,AGEO0009,mike24,M,,Avellino,Italia
ART0063,AGEO0005,miss keta,F,,Milano,Italia
