DateCodePK,Year,Month,Day,Season
DAT0001,2021,202104,20210402,Spring
DAT0002,2020,202003,20200306,Winter
DAT0003,2021,202102,20210219,Winter
DAT0004,2019,201903,20190308,Winter
DAT0005,2020,202005,20200529,Spring
DAT0006,2020,202005,20200521,Spring
DAT0007,2020,202004,20200417,Spring
DAT0008,2023,202302,20230208,Winter
DAT0009,2022,202206,20220603,Spring
DAT0010,2019,201906,20190607,Spring
DAT0011,2019,201902,20190207,Winter
DAT0012,2019,201904,20190416,Spring
DAT0013,2020,202003,20200313,Winter
DAT0014,2019,201909,20190920,Summer
DAT0015,2019,201901,20190114,Winter
DAT0016,2025,202505,20250516,Spring
DAT0017,2018,201806,20180615,Spring
DAT0018,2019,201907,20190710,Summer
DAT0019,2020,202001,20200117,Winter
DAT0020,2020,202010,20201002,Autumn
DAT0021,2023,202305,20230519,Spring
DAT0022,2019,201912,20191230,Winter
DAT0023,2024,202406,20240621,Summer
DAT0024,2020,202012,20201225,Winter
DAT0025,2022,202211,20221104,Autumn
DAT0026,2019,201908,20190813,Summer
DAT0027,2020,202004,20200407,Spring
DAT0028,2024,202403,20240301,Winter
DAT0029,2018,201812,20181220,Autumn
DAT0030,2018,201812,20181205,Autumn
DAT0031,2018,201811,20181112,Autumn
DAT0032,2020,202001,20200124,Winter
DAT0033,2020,202006,20200610,Spring
DAT0034,2015,201511,20151117,Autumn
DAT0035,2015,201509,20150907,Summer
DAT0036,2025,202505,20250502,Spring
DAT0037,2015,201511,20151126,Autumn
DAT0038,2015,201511,20151122,Autumn
DAT0039,2015,201511,20151102,Autumn
DAT0040,2016,201601,20160127,Winter
DAT0041,2025,202505,20250522,Spring
DAT0042,2015,201511,20151129,Autumn
DAT0043,2025,202505,20250505,Spring
DAT0044,2018,201812,20181211,Autumn
DAT0045,2018,201803,20180306,Winter
DAT0046,2019,201905,20190524,Spring
DAT0047,2021,202105,20210528,Spring
DAT0048,2016,201610,20161024,Autumn
DAT0049,2019,201902,20190213,Winter
DAT0050,2018,201802,20180214,Winter
DAT0051,2021,202110,20211022,Autumn
DAT0052,2017,201710,20171013,Autumn
DAT0053,2024,202405,20240510,Spring
DAT0054,2019,201910,20191002,Autumn
DAT0055,2018,201806,20180607,Spring
DAT0056,2018,201806,20180622,Summer
DAT0057,2018,201804,20180423,Spring
DAT0058,2017,201703,20170313,Winter
DAT0059,2019,201901,20190110,Winter
DAT0060,2021,202104,20210430,Spring
DAT0061,2020,202011,20201112,Autumn
