Title,Language,Duration,Streams_1month,Popularity,ArtistCodeFK,AlbumCodeFK,DateCodeFK,SymphonyCodeFK,TextCodeFK,FeatureCodeFK
​polka 2 :-/,pl,207761.0,186522.0,46.0,,84,1,2,1,1,2
POLKA,en,207761.0,194313.0,46.0,,84,1,3,2,2,3
​britney ;-),en,193544.0,63750.0,39.0,,84,1,4,3,3,5
CEO,it,169000.0,41473.0,47.0,,84,2,5,4,4,6
LONDRA,en,194779.0,30553.0,41.0,,84,3,6,5,5,7
BOHEME,it,200329.0,29687.0,29.0,,84,3,7,6,6,8
LOBBY WAY,it,171230.0,24103.0,23.0,,84,3,8,7,7,9
SLATT,en,168513.0,30838.0,24.0,,84,3,6,8,8,10
MADE IN ITALY,it,178080.0,20522.0,50.0,,84,4,9,9,9,11
ROSE & ROVI,it,188534.0,20741.0,27.0,,84,3,6,10,10,12
POLKA 3,it,160645.0,14401.0,40.0,,84,5,10,11,11,13
COSANOSTRA,it,136737.0,17799.0,25.0,,84,3,6,12,12,14
NUOVI GAY,it,210369.0,16490.0,21.0,,84,3,6,13,13,15
OCCHIO E CROCE,it,134437.0,11654.0,23.0,,84,3,6,14,14,16
​life :-(,it,129560.0,11083.0,26.0,,84,1,2,15,15,17
RAF SIMONS,it,61922.0,10994.0,21.0,,84,3,6,16,16,18
SLIME,en,159809.0,11572.0,22.0,,84,3,6,17,17,19
TU MI FAI,it,167729.0,11741.0,23.0,,84,3,6,18,18,20
PARADISO,it,140210.0,10864.0,21.0,,84,3,6,19,19,21
​no love :-),en,190500.0,9540.0,23.0,,84,1,2,20,20,22
​fantasmi ;-(,it,206550.0,10107.0,25.0,,84,1,2,21,21,23
Facciamolo,it,141706.0,7237.0,21.0,,84,6,11,22,22,24
Freestyle #redbullnext #essemagazine,it,169000.0,6825.0,47.0,,84,2,12,23,23,25
Scolapasta,it,138560.0,4798.0,48.0,,84,7,13,24,24,26
#IORESTOACASA Freestyle,it,138560.0,4926.0,48.0,,84,7,14,25,25,27
Fatass,it,152343.0,5585.0,11.0,,84,8,15,26,26,28
Ok ok pih roh toh toh !,pl,111541.0,4409.0,17.0,,84,9,5,27,27,29
Exodia / 1tot,it,156933.0,5044.0,19.0,,84,9,5,28,28,30
Ramoscelli,it,96595.0,5197.0,17.0,,84,9,5,29,29,31
Sono Io !!,it,144000.0,4104.0,19.0,,84,9,5,30,30,32
Rovesciata,it,101333.0,5228.0,18.0,,84,9,16,31,31,33
ceo 2,it,169000.0,4354.0,47.0,,84,2,17,32,32,34
Lil Peep,it,97593.0,4140.0,21.0,,84,10,18,33,33,35
ABC,pl,138560.0,5915.0,48.0,,84,7,19,34,34,36
ALIENO,it,111966.0,5947.0,10.0,,84,11,20,35,35,37
Teschio,fr,179277.0,5630.0,14.0,,84,9,5,36,36,38
Mattonelle*,it,138560.0,4623.0,48.0,,84,7,21,37,37,39
BELLU GUAGLIONE,it,174545.0,4207.0,41.0,,84,12,22,38,38,40
Acqua Panna,it,155178.0,5383.0,0.0,,84,13,18,39,39,41
AIDS FREESTYLE,it,138560.0,4893.0,48.0,,84,7,23,40,40,42
0.25X,it,107532.0,4255.0,41.0,,84,2,17,41,41,43
3SOME,it,122076.0,5003.0,31.0,,84,14,24,42,42,44
A te e famiglia Freestyle,it,169263.0,4080.0,70.0,,84,15,25,43,43,45
​non è normale,it,188761.0,5836.0,27.0,,84,16,26,44,44,46
TECKTONiiK,it,181960.0,4531.0,44.0,,84,2,17,45,45,47
Rosa Chemical,it,149196.0,5339.0,51.0,,84,17,18,46,46,48
bRAtZz,it,187397.0,4636.0,37.0,,84,2,17,47,47,49
