FeatureCodePK,FeaturedArtistName
1,TR934808,Ernia
2,TR934808,Guè
3,TR760029,Thelonious B.
4,TR916821,MamboLosco
5,TR916821,RADICAL
6,TR480968,Taxi B
7,TR585039,Rkomi
8,TR550335,
9,TR170793,
10,TR627195,Dani Faiv
11,TR628871,
12,TR700756,
13,TR570242,
14,TR483404,
15,TR497808,
16,TR355495,
17,TR736423,
18,TR718221,
19,TR181361,Wayne
20,TR950471,Boro
21,TR562453,
22,TR851752,
23,TR387150,
24,TR968851,
25,TR634516,
26,TR292151,
27,TR709513,
28,TR804827,
29,TR889630,
30,TR701720,
31,TR933222,
32,TR242610,
33,TR383343,
34,TR127960,Macello
35,TR792261,
36,TR692137,
37,TR344681,
38,TR945862,
39,TR266736,
40,TR972244,
41,TR998208,
42,TR628388,
43,TR885356,
44,TR614930,VillaBanks
45,TR227001,
46,TR715264,
47,TR281299,18K
48,TR219098,
49,TR553749,
50,TR573924,
51,TR225367,
52,TR618229,
53,TR792145,
54,TR578432,
55,TR353097,
56,TR904495,
57,TR990916,
58,TR600518,
59,TR127605,
60,TR292829,
61,TR440692,HEAVEN (ITA)
62,TR141416,
63,TR697931,
64,TR406572,
65,TR738305,
66,TR842844,
67,TR828673,
68,TR568257,Thetesto
69,TR264304,Pitta (ITA)
70,TR264304,18K
71,TR264304,Macello
72,TR928912,
73,TR418448,
74,TR756639,
75,TR639324,
76,TR990354,
77,TR301160,Lazza
78,TR957619,
79,TR334229,
80,TR610853,
81,TR418321,
82,TR598542,
83,TR604553,
84,TR402240,
85,TR762108,
86,TR513758,
87,TR694274,
88,TR740353,
89,TR158456,
90,TR414877,
91,TR716390,
92,TR175544,
93,TR410236,
94,TR393223,
95,TR953299,
96,TR932620,Samurai Jay
97,TR109484,Spender
98,TR206218,
99,TR499439,Willie Peyote
100,TR931906,Angelino Panebianco
101,TR247496,Carl Brave
102,TR332893,M¥SS KETA
103,TR412109,Vipra
104,TR862027,
105,TR978323,
106,TR986603,
107,TR981336,
108,TR882413,
109,TR865293,
110,TR161081,
