TextCodePK,N_Sentences,N_Tokens,Char_Per_Tok,Avg_Token_Per_Clause,Is_Explicit
1,102.0,911.0,4.1704545455,8.1339285714,1
2,56.0,675.0,4.2808510638,12.5,1
3,88.0,758.0,4.0752508361,8.4222222222,1
4,37.0,382.0,4.023880597,6.701754386,1
5,48.0,429.0,3.9228571429,8.4117647059,1
6,62.0,387.0,4.1606060606,6.45,1
7,82.0,680.0,3.817679558,12.1428571429,1
8,82.0,657.0,4.031372549,10.265625,1
9,82.0,584.0,3.935840708,11.0188679245,1
10,50.0,589.0,3.8515081206,9.3492063492,1
11,54.0,487.0,3.845144357,8.2542372881,1
12,51.0,497.0,4.046997389,13.8055555556,1
13,57.0,332.0,3.7859922179,8.3,1
14,47.0,455.0,4.2543859649,9.8913043478,1
15,48.0,441.0,3.7826086957,7.4745762712,0
16,28.0,253.0,4.0734463277,11.0,1
17,48.0,422.0,4.0476190476,7.8148148148,1
18,47.0,357.0,3.6730769231,7.5957446809,0
19,50.0,406.0,4.1482479784,5.1392405063,0
20,74.0,812.0,3.9512605042,7.9607843137,1
21,83.0,870.0,4.0014326648,7.4358974359,1
22,72.0,556.0,3.7183406114,3.6339869281,1
23,16.0,118.0,5.0114942529,19.6666666667,1
24,71.0,337.0,4.3723404255,8.0238095238,1
25,28.0,236.0,3.6891891892,6.2105263158,1
26,41.0,461.0,4.2287390029,10.4772727273,1
27,25.0,236.0,3.8727272727,10.2608695652,1
28,50.0,492.0,3.2644836272,6.4736842105,1
29,18.0,118.0,4.3229166667,13.1111111111,1
30,47.0,497.0,3.5216216216,5.0202020202,1
31,35.0,267.0,3.9831223629,8.9,1
32,54.0,719.0,4.0841121495,10.2714285714,1
33,90.0,392.0,4.1128205128,9.5609756098,1
34,61.0,461.0,3.2790697674,15.3666666667,1
35,37.0,401.0,4.3183391003,8.1836734694,1
36,53.0,559.0,4.0110864745,12.7045454545,1
37,123.0,1139.0,4.2424916574,7.5933333333,1
38,66.0,450.0,4.2102102102,6.4285714286,1
39,84.0,455.0,3.9690949227,6.5,1
40,51.0,536.0,3.6752941176,13.7435897436,1
41,32.0,327.0,4.1201550388,11.275862069,1
42,51.0,410.0,4.9832214765,15.1851851852,1
43,24.0,214.0,4.6424242424,7.1333333333,1
44,55.0,458.0,3.8428184282,6.6376811594,1
45,93.0,850.0,4.1116666667,10.119047619,1
46,92.0,561.0,4.2655889145,7.1923076923,1
47,51.0,537.0,3.9208633094,10.1320754717,1
48,17.0,104.0,3.7058823529,5.7777777778,0
49,62.0,630.0,3.6436285097,9.6923076923,1
50,25.0,189.0,4.0,6.3,1
51,27.0,241.0,4.2614678899,6.025,1
52,43.0,521.0,3.5904255319,10.2156862745,1
53,23.0,130.0,3.905511811,5.0,1
54,40.0,365.0,4.2444444444,6.6363636364,1
55,51.0,187.0,4.5061728395,9.35,1
56,20.0,178.0,3.7424242424,12.7142857143,1
57,34.0,294.0,4.2067669173,7.0,1
58,83.0,677.0,4.1179401993,8.3580246914,1
59,1.0,4.0,6.0,0.0,0
60,59.0,616.0,3.9686346863,6.4166666667,1
61,44.0,438.0,4.0429799427,9.3191489362,1
