ArtistCodePK,ArtistGeoCodeFK,Name,Gender,Nationality
1,1,99 posse,M,Italia
2,2,achille lauro,M,Italia
3,3,alfa,M,Italia
4,4,anna pepe,F,Italia
5,5,articolo 31,M,Italia
6,6,babaman,M,Italia
7,7,baby k,F,Italia
8,5,bassi maestro,M,Italia
9,8,beba,F,Italia
10,9,bigmama,F,Italia
11,10,brusco,M,Italia
12,4,bushwaka,M,Italia
13,5,caneda,M,Italia
14,11,caparezza,M,Italia
15,12,capo plaza,M,Italia
16,3,chadia rodriguez,F,Italia
17,9,clementino,M,Italia
18,5,club dogo,M,Italia
19,13,coez,M,Italia
20,10,colle der fomento,M,Italia
21,10,cor veleno,M,Italia
22,4,dani faiv,M,Italia
23,5,dargen d_amico,M,Italia
24,10,dark polo gang,M,Italia
25,14,doll kill,F,Italia
26,5,don joe,M,Italia
27,15,drefgold,M,Italia
28,16,emis killa,M,Italia
29,17,ensi,M,Italia
30,5,entics,M,Italia
31,5,ernia,M,Italia
32,18,eva rea,F,Italia
33,19,fabri fibra,M,Italia
34,5,fedez,M,Italia
35,20,frah quintale,M,Italia
36,8,frankie hi-nrg mc,M,Italia
37,8,fred de palma,M,Italia
38,10,gemitaiz,M,Italia
39,1,geolier,M,Italia
40,5,ghali,M,Italia
41,9,ghemon,M,Italia
42,5,grido,M,Italia
43,5,guè pequeno,M,Italia
44,21,hell raton,M,Italia
45,22,hindaco,F,Italia
46,10,il tre,M,Italia
47,10,inoki,M,Italia
48,5,j-ax,M,Italia
49,5,jack the smoker,M,Italia
50,5,jake la furia,M,Italia
51,23,joey funboy,F,Italia
52,24,johnny marsiglia,M,Italia
53,25,la pina,F,Italia
54,1,lazza,M,Italia
55,1,luchè,M,Italia
56,26,madame,F,Italia
57,27,madman,M,Italia
58,5,mahmood,M,Italia
59,26,mambolosco,M,Italia
60,28,marracash,M,Italia
61,29,massimo pericolo,M,Italia
62,9,mike24,M,Italia
63,5,miss keta,F,Italia
64,30,miss simpatia,F,Italia
65,31,mistaman,M,Italia
66,5,mistico,M,Italia
67,5,mondo marcio,M,Italia
68,32,mr. rain,M,Italia
69,33,mudimbi,M,Italia
70,13,neffa,M,Italia
71,5,nerone,M,Italia
72,19,nesli,M,Italia
73,5,niky savage,M,
74,26,nitro,M,Italia
75,10,noyz narcos,M,Italia
76,1,o zulù,M,Italia
77,34,papa v,M,Italia
78,10,piotta,M,Italia
79,35,priestess,F,Italia
80,10,rancore,M,Italia
81,5,rkomi,M,Italia
82,12,rocco hunt,M,Italia
83,5,rondodasosa,M,Italia
84,8,rosa chemical,M,Italia
85,5,rose villain,F,Italia
86,36,roshelle,F,Italia
87,21,salmo,M,Italia
88,4,samuel heron,M,Italia
89,5,sfera ebbasta,M,Italia
90,37,shablo,M,Argentina
91,8,shade,M,Italia
92,5,shiva,M,Italia
93,38,skioffi,M,Italia
94,21,slait,M,Italia
95,39,sottotono,M,Italia
96,3,tedua,M,Italia
97,40,thasup,M,Italia
98,41,tony boy,M,Italia
99,10,tony effe,M,Italia
100,42,tormento,M,Italia
101,43,vacca,M,Italia
102,8,willie peyote,M,Italia
103,44,yeиdry,F,
104,1,yung snapp,M,Italia
