GroupFK,FeaturedArtistFK
1,31
3,59
5,81
8,22
73,54
95,102
116,100
139,84
152,84
202,87
205,60
207,22
208,38
208,57
213,54
216,54
216,89
219,33
220,83
221,58
225,96
227,19
237,81
243,92
244,87
269,54
306,39
314,59
330,74
330,87
334,83
336,96
337,15
338,97
339,15
339,89
342,89
346,55
347,38
350,89
355,39
355,92
357,40
359,28
361,92
364,99
366,60
372,39
375,75
377,28
378,33
392,33
415,96
443,28
502,60
508,60
509,89
510,40
514,38
514,87
515,74
518,33
521,50
522,74
525,28
525,50
527,29
527,50
528,74
528,38
529,74
529,33
529,50
529,38
530,38
533,87
541,54
546,17
549,87
549,50
560,82
566,48
582,100
588,101
588,49
589,57
605,29
605,38
610,49
614,22
624,74
624,49
631,22
666,94
695,8
750,29
793,15
796,89
798,60
799,60
800,54
800,87
801,85
801,55
804,54
805,89
806,39
809,13
810,35
812,55
812,60
813,60
820,89
823,38
823,75
825,15
827,89
829,31
830,39
834,75
836,58
836,60
837,55
838,99
842,54
845,60
847,85
849,55
855,87
863,89
863,27
865,61
866,85
882,99
886,19
891,60
891,81
902,39
913,58
917,92
918,33
923,58
931,75
931,60
934,29
934,30
934,50
934,60
935,13
938,31
946,35
948,50
949,28
949,101
952,7
953,30
958,29
959,40
959,99
962,34
964,17
966,31
966,100
967,100
970,75
971,50
976,34
978,28
979,87
980,60
985,77
986,60
988,29
991,99
994,98
995,60
999,40
999,31
1001,50
1006,48
1008,50
1009,6
1010,75
1013,60
1013,50
1021,13
1024,38
1026,8
1026,49
1027,49
1029,60
1032,60
1034,28
1042,101
1043,47
1045,30
1045,29
1045,60
1045,50
1047,13
1056,30
1060,100
1065,60
1067,26
1077,60
1083,30
1090,29
1092,60
1104,60
1177,28
1179,90
1200,89
1200,27
1201,40
1223,54
1228,89
1229,98
1233,92
1237,96
1267,58
1268,99
1282,99
1284,89
1317,87
1320,28
1321,56
1340,96
1364,2
1373,96
1458,101
1478,61
1479,89
1493,33
1498,96
1505,15
1507,39
1538,80
1540,14
1575,21
1606,8
1635,50
1662,57
1664,38
1671,14
1681,33
1694,87
1695,39
1697,82
1702,33
1705,56
1711,38
1711,57
1713,75
1713,60
1714,71
1716,82
1717,29
1725,60
1725,75
1727,55
1727,19
1734,82
1736,33
1752,29
1764,29
1807,60
1808,60
1815,75
1819,89
1823,60
1834,26
1835,60
1836,48
1837,60
1839,60
1841,29
1845,60
1848,26
1866,60
1892,48
1896,30
1925,30
1933,28
1934,101
1954,20
1993,54
1993,56
2003,60
2005,85
2009,87
2012,70
2018,60
2026,74
2026,87
2032,72
2033,72
2042,57
2042,38
2055,70
2059,60
2063,31
2063,81
2069,38
2099,58
2109,74
2129,17
2134,57
2135,72
2144,72
2153,75
2167,60
2188,77
2197,30
2199,60
2199,30
2214,41
2243,72
2263,48
2264,39
2267,17
2271,70
2272,28
2272,104
2274,2
2275,17
2277,55
2278,38
2279,38
2283,70
2288,39
2296,17
2300,57
2300,74
2300,38
2306,33
2307,55
2314,17
2319,17
2325,48
2334,75
2340,61
2361,29
2366,29
2387,52
2417,100
2423,67
2432,52
2449,52
2474,49
2479,41
2511,67
2513,96
2526,50
2526,28
2530,10
2545,78
2545,75
2546,71
2553,50
2556,38
2558,90
2562,90
2590,41
2623,33
2628,8
2632,67
2632,49
2639,65
2645,100
